"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "HTML", "JavaScript JSX", "CSS", "C#", "XML", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\PhotoUploadResult.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\Commands\UpdateUser.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -7, -41
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\ChangePasswordDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -2, -18
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\LoginUserDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\RegisterUserDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UpdateRoleDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UpdateUserDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UserDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, -2, -22
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\Validators\ChangePasswordValidator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -4, -25
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\poster.application.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, -6, -25
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Aktywnosc.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -3, -22
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\AktywnoscUser.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -1, -12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Kategoria.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Miasto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Miejsce.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Photo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
