Date : 2023-05-30 00:13:07
Directory : c:\Users\dell\Desktop\Projekt inżynierski\poster.client
Total : 76 files,  18790 codes, 64 comments, 488 blanks, all 19342 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscPhotoList.tsx       | TypeScript JSX     |         67 |          0 |          5 |         72 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\form\AktywnoscForm.tsx               | TypeScript JSX     |        236 |          0 |         10 |        246 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\errors\Forbidden.tsx                            | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\errors\NotFound.tsx                             | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\errors\ValidationError.tsx                      | TypeScript JSX     |         31 |          0 |          7 |         38 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\homePage\HomePage.tsx                           | TypeScript JSX     |         83 |          0 |          6 |         89 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\kategorie\KategorieDashboard.tsx                | TypeScript JSX     |        158 |          0 |         12 |        170 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\kategorie\KategorieForm.tsx                     | TypeScript JSX     |         70 |          0 |          5 |         75 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\miasta\MiastaDashboard.tsx                      | TypeScript JSX     |        158 |          0 |         12 |        170 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\miasta\MiastaForm.tsx                           | TypeScript JSX     |         70 |          0 |          5 |         75 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\miejsca\MiejscaDashboard.tsx                    | TypeScript JSX     |        169 |          0 |         12 |        181 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\miejsca\MiejscaForm.tsx                         | TypeScript JSX     |        133 |          0 |          7 |        140 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\LoginForm.tsx                             | TypeScript JSX     |        130 |          0 |          5 |        135 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\PasswordChangeForm.tsx                    | TypeScript JSX     |        112 |          0 |          5 |        117 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\RegisterForm.tsx                          | TypeScript JSX     |        122 |          0 |          5 |        127 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\dashboard\UsersDashboard.tsx              | TypeScript JSX     |        207 |          0 |         11 |        218 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileAktywnosci.tsx             | TypeScript JSX     |         35 |          0 |          5 |         40 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileBio.tsx                    | TypeScript JSX     |        182 |          0 |          5 |        187 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileCard.tsx                   | TypeScript JSX     |         33 |          6 |          5 |         44 |
