"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\PasswordChangeForm.tsx", "TypeScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 0, 5, 117
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 5, 127
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\dashboard\UsersDashboard.tsx", "TypeScript JSX", 0, 0, 0, 207, 0, 0, 0, 0, 0, 11, 218
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileAktywnosci.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileBio.tsx", "TypeScript JSX", 0, 0, 0, 182, 0, 0, 0, 0, 0, 5, 187
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileCard.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 6, 5, 44
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileContent.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 16, 10, 86
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 13, 4, 50
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfilePhotosList.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 7, 117
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\index.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 13351, 1154, 3844, 161, 20, 93, 141, 64, 488, 19342
