"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\DeleteMiasto.cs", "C#", 32, 0, 0, 0, 6, 38
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\UpdateMiasto.cs", "C#", 39, 0, 0, 0, 6, 45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\DTOs\MiastoDTO.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Queries\GetAllMiasta.cs", "C#", 26, 0, 0, 0, 5, 31
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Queries\GetMiastoById.cs", "C#", 29, 0, 0, 0, 5, 34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Validators\MiastoValidator.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\CreateMiejsce.cs", "C#", 39, 0, 0, 0, 7, 46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\DeleteMiejsce.cs", "C#", 32, 0, 0, 0, 7, 39
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\UpdateMiejsce.cs", "C#", 39, 0, 0, 0, 6, 45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\DTOs\MiejsceDTO.cs", "C#", 12, 0, 0, 0, 1, 13
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetAllMiejsca.cs", "C#", 26, 0, 0, 0, 6, 32
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetMiejscaByMiastoId.cs", "C#", 28, 0, 0, 0, 6, 34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetMiejsceById.cs", "C#", 29, 0, 0, 0, 6, 35
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Validators\MiejsceValidator.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\AddPhoto.cs", "C#", 42, 0, 0, 0, 9, 51
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\DeletePhoto.cs", "C#", 38, 0, 0, 0, 9, 47
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\SetMainPhoto.cs", "C#", 36, 0, 0, 0, 10, 46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\DTOs\PhotoDTO.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\PhotoUploadResult.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\Commands\UpdateUser.cs", "C#", 34, 0, 0, 0, 7, 41
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\ChangePasswordDTO.cs", "C#", 16, 0, 0, 0, 2, 18
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\LoginUserDTO.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\RegisterUserDTO.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UpdateRoleDTO.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UpdateUserDTO.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\DTOs\UserDTO.cs", "C#", 20, 0, 0, 0, 2, 22
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Users\Validators\ChangePasswordValidator.cs", "C#", 21, 0, 0, 0, 4, 25
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\poster.application.csproj", "XML", 0, 19, 0, 0, 6, 25
